,character,line,episode number
106,GEORGE," You know, I can’t believe you’re bringin’ in an extra bed for woman that wants to sleep with you. Why don’t you bring in an extra guy too?",1
107,JERRY," Look, it’s a very awkward situation. I don’t wanna be presumptuous.",1
108,GEORGE," All right, all right, one more time, one more time! What was the exact phrasing of the request?",1
109,JERRY," All right, she said she couldn’t find a decent hotel room...",1
110,GEORGE, A decent hotel-room...,1
111,JERRY," Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place.",1
112,GEORGE," You can’t be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag?  This is the signal, Jerry, this is the signal! ",1
113,JERRY,"  This is the signal? Thank you, Mr. Signal. Where were you yesterday?",1
114,GEORGE, I think I was affected by the caffeine. ,1
115,GEORGE," Ho, ho, ho, good dog, good dog...",1
116,KRAMER," Hey, he really likes you, George.",1
117,GEORGE," Well, that’s flattering. ",1
118,KRAMER," Oh, he’s gettin’ a drink of water.  Is this for that girl?",1
119,JERRY, Yeah.,1
120,KRAMER, Why even give her an option?,1
121,JERRY," This is a person I like, it’s not “How to score on spring break”.",1
122,GEORGE," Right, can we go? ‘Cause I’m double-parked, I’m gonna get a ticket.",1
123,JERRY," Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom.",1
124,GEORGE, So what? That’s good.,1
125,JERRY," Now, how could that be good?",1
126,GEORGE," Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin’ around the bathroom? They, have a woman comin’ over, “I’ve gotta tidy up?” Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.",1
127,JERRY, This is how you operate?,1
128,GEORGE," Yeah, I wish.",1
129,JERRY, Let me just wipe the sink.,1
130,KRAMER, Why even give her an option for? ,1
131,KRAMER,  It’s unbelievable.,1
132,GEORGE, Yeah.,1
133,KRAMER, How’s the real estate-business?,1
134,GEORGE,"  It’s uh, not bad, it’s comin’ along. Why? Did you need something.",1
135,KRAMER, Do you handle any of that commercial...real estate?,1
136,GEORGE," Well, I might be getting into that.",1
137,KRAMER,  You keep me posted!,1
138,GEORGE," I’m aware of you.  All right, let’s go  Let’s go!",1
139,JERRY," The dating world is not a fun world...it’s a pressure world, it’s a world of tension, it’s a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, ‘cause she needs things. Women need equipment. I don’t know what they need. I know I don’t have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one I’m- always has been one of the amazing things to me...I have no cotton-balls, we’re all human beings, what is the story? I’ve never had one...I never bought one, I never needed one, I’ve never been in a situation, when I thought to myself",1
140,JERRY, Wouldn’t it be great if you could ask a woman what she’s thinking?,1
141,GEORGE," What a world that would be, if you just could ask a woman what she’s thinkin’.",1
142,JERRY," You know, instead, I’m like a detective. I gotta pick up clues, the whole thing is a murder investigation.",1
143,GEORGE," Listen, listen, don’t get worked up, ‘cause you’re gonna know the whole story the minute she steps off the plane.",1
144,JERRY, Really? How?,1
145,GEORGE, ‘Cause it’s all in the greeting. ,1
146,JERRY, Uh-huh.,1
147,GEORGE," All right, if she puts the bags down before she greets you, that’s a good sign.",1
148,JERRY, Right.,1
149,GEORGE," You know, anything in the, in the lip area is good.",1
150,JERRY, Lip area.,1
151,GEORGE, You know a hug,1
152,JERRY, Hug is definitely good.,1
153,GEORGE, Sure.,1
154,JERRY," Although what if it’s one of those hugs where the shoulders are touching, the hips are eight feet apart?",1
155,GEORGE," That’s so brutal, I hate that.",1
156,JERRY, You know how they do that?,1
157,GEORGE," That’s why, you know, a shake is bad.",1
158,JERRY," Shake is bad, but what if it’s the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?",1
159,GEORGE, Hand sandwich.,1
160,JERRY, Right.,1
161,GEORGE," I see, well, that’s open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes. ",1
162,JERRY," Hey, hey.",1
163,JERRY, It’s good to see you.,1
164,JERRY, This is my friend George.,1
165,GEORGE," Hi, how are you?",1
166,JERRY, This is Laura.,1
167,GEORGE," Laura, sure.",1
168,JERRY,  I can’t believe you’re here.,1
169,JERRY,"  Now that was an interesting greeting, did you notice that, George?",1
170,GEORGE," Yes, the surprise blindfold greeting. That wasn’t in the manual, I don’t know.",1
171,JERRY," So uh, what do you think?",1
172,JERRY," Yeah, it kind a motivates me to work on the road. So uh, make yourself at home.  So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?",1
173,JERRY," Uh, yeah, I think I do.",1
174,JERRY," Uh, no, yeah, go right ahead.",1
175,JERRY," Uh, yeah, yeah, sure, why don’t you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin’ anything?",1
176,JERRY, Really? What would you like to do?,1
177,JERRY,"  Yeah, we could do that...why not, why not.  I’m just, I’m really glad you’re here.",1
178,JERRY,"  Yeah, hello...yes...yes, she is, hold on.  Um, it’s for you.",1
179,JERRY,  You’re engaged?,1
180,JERRY, You’re engaged? ,1
181,JERRY,  You’re engaged. ,1
182,JERRY, Yeah.,1
183,JERRY, Me too!,1
184,JERRY," I swear, I have absolutely no idea what women are thinking. I don’t get it, okay? I, I, I admit, I, I’m not getting the signals. I am not getting it! Women, they’re so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, that’s it! It’s the only thing we know for sure, it really is. We want women. How do we get them? Oh, we don’t know ‘bout that, we don’t know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas we’ve had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! “I don’t think she likes me.” The amazing thing is, that we still get women, don’t we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. That’s why, I think, men get frustrated, when we see women reading articles, like",1
