,character,line,episode number
19891,JERRY," Well, thank you very much. I'm telling you, one more day stinkbreath!",21
19892,JERRY," On my block, a lot of ah, people walk their dogs, and I always see them walking along with their little poop bags, which to me is just the lowest function of human life. If aliens are watching this through telescopes, they're gonna think the dogs are the leaders. If you see two life forms, one of them's making a poop, the other one's carrying it for him, who would you assume was in charge?",21
19893,GEORGE, So how long did you live there?,21
19894,ELAINE, About three years.,21
19895,GEORGE, That's pretty long.,21
19896,ELAINE, Hmm.,21
19897,GEORGE," It's not that long, really.",21
19898,ELAINE, Yeah.,21
19899,GEORGE, And then you came here.,21
19900,ELAINE, Yeah. So I've been here about six years.,21
19901,JERRY," Bad dog! Bad dog! You go outside! Outside!! What do you want from me? Tell me! Money, you want money? I'll give you money, how much?!",21
19902,KRAMER," I must have been out of my mind. Look at you. Why don't you do something with your life? Sit around here all day, you contribute nothing to society. You're just taking up space. How could I be with someone like you? Wouldn't respect myself.",21
19903,GEORGE, I like herbal tea.,21
19904,GEORGE, Chamomile's good. Lemon Lift. Almond Pleasure.,21
19905,ELAINE, Jerry likes Morning Thunder.,21
19906,GEORGE, Jerry drinks Morning Thunder?,21
19907,ELAINE, Yeah.,21
19908,GEORGE," Morning Thunder has caffeine in it, Jerry doesn't drink caffeine.",21
19909,ELAINE, Jerry doesn't know Morning Thunder has caffeine in it.,21
19910,GEORGE, You don't tell him?,21
19911,ELAINE, No.,21
19912,GEORGE, That is so funny!,21
19913,ELAINE, I know!,21
19914,GEORGE," Wait, have you ever seen him throw up?!",21
19915,KRAMER," Please! Please!! I take it all back, everything! I take it all back, every word! I love you! I love *you*! I can't live without you, I,ll, I'll do anything!",21
19916,JERRY," That's right, Gavin Palone. What? Are you sure? He was released on Monday? *Last* Monday? Did he leave a phone number or address? Unbelievable. Well thank you, thanks, thanks very much.  That's it, Farfel! Party's over! Start packing up your little squeeze toys buddy boy, you're checking out!",21
19917,ELAINE, It was weird because George and I get along so great in so many situations but this is the first time we ever really went one-on-one.,21
19918,JERRY," Oh, one-on-one's a whole different game. Can't pass off.",21
19919,ELAINE, The only time it wasn't uncomfortable was when we were making fun of you.,21
19920,JERRY," Going to the dog pound, everybody! Going to the dog pound, come on down.  What?",21
19921,ELAINE, Do you have to?,21
19922,JERRY, What am I supposed to do? I don't want to do it. I like dogs. I'm not sure this is a dog.,21
19923,ELAINE," You know, the guy might have just lost your number.",21
19924,JERRY, I'm in the book and I have a machine.,21
19925,ELAINE," Jerry, do you know what they do to dogs at the pound? They keep them there for a week and then if nobody claims them, they kill them.",21
19926,JERRY, Really? How late are they open?,21
19927,JERRY, What?,21
19928,ELAINE, What is it?,21
19929,KRAMER, I went back with Ellen.,21
19930,ELAINE, Terrific.,21
19931,JERRY," Yeah, I really think you guys are good together.",21
19932,ELAINE," Yes, she understands you and she is not demanding.",21
19933,KRAMER, Do you think that I forgot what you two said about her?,21
19934,JERRY," Well I was just trying to be supportive, you know. I knew you were upset.",21
19935,KRAMER," From now on when we pass each other in the hall, I don't know you, you don't know me.",21
19936,ELAINE," Oh, Kramer, we didn't mean it.",21
19937,JERRY, What are you doing?,21
19938,KRAMER, I'm getting my pot.,21
19939,ELAINE," Kramer, we like her.",21
19940,JERRY, Kramer? What did we say that's so bad?,21
19941,ELAINE, I believe I referred to her personality as a potential science exhibit.,21
19942,JERRY," I said, ""How come no one's killed her?"" Probably shouldn't have said anything,",21
19943,JERRY, Well.,21
19944,ELAINE, Well.,21
19945,JERRY, everyone knows the first break-up never takes.  Yeah?,21
19946,GEORGE, Prognosis Negative! ,21
19947,JERRY," Okay, Farfel, put your shoes on.",21
19948,ELAINE," Jerry, can't you just give it one more day, it's not his fault.",21
19949,JERRY," It's not my dog, I don't know where this boozehound is.",21
19950,ELAINE," Alright, I tell you what. How about if you and George go to the movies, and I stay here and watch the dog tonight.",21
19951,JERRY," I can't let you do that, what about Prognosis Negative?",21
19952,ELAINE, We'll see it Sunday.,21
19953,GEORGE," Tonight's the night, right? Prognosis Negative?",21
19954,ELAINE," I'm not going, I'm gonna watch the dog.",21
19955,GEORGE, What does this mean?,21
19956,JERRY," Well, we'll go see something else tonight. We'll see, uh, Ponce De Leon.",21
19957,GEORGE," What is with this dog, I thought we were taking it to the pound.",21
19958,JERRY," She talked me into one more day. Talk amongst yourselves, I'm gonna go to the bathroom.",21
19959,GEORGE," Uh Jerry, how long will you be in there?",21
19960,JERRY," I don't know, regular human time?",21
19961,GEORGE, Uh why don't you wait then go in the movies?,21
19962,JERRY, Why shouldn't I go here?,21
19963,ELAINE," Well, you know, I mean, sometimes it's good to get there and make sure you get your seats and then go to the bathroom.",21
19964,GEORGE, And isn't it more fun using the urinal?,21
19965,ELAINE, Yeah.,21
19966,JERRY," Oh yeah, urinals are fun. Can I go?!",21
19967,GEORGE," Hey, go.",21
19968,ELAINE, Who's stopping you?,21
19969,GEORGE," What, are you doing me a favor?",21
19970,ELAINE, Like we care if you go to the bathroom.,21
19971,GEORGE, How's it going?,21
19972,ELAINE, Good. Good. You?,21
19973,GEORGE, Things are good.,21
19974,ELAINE," Boy, he takes such a long time.",21
19975,GEORGE, I know.,21
19976,ELAINE, You know what he does in there? He gargles.,21
19977,GEORGE, Jerry gargles? Is that why he takes so long?,21
19978,ELAINE," Yeah, he does it like six times a day.",21
19979,GEORGE, How come we never hear him?,21
19980,ELAINE," Because he does it quiet. He does it quiet. Lookit, Just like this, watch.",21
19981,GEORGE," Wait, wait, did you ever see him throw up?!",21
19982,ELAINE, We talked about that already.,21
19983,GEORGE, Oh.,21
19984,GEORGE, I have nothing to say to anybody. I'm so uninteresting. I think I'm out of conversation.,21
19985,JERRY, So what are calling me six times a day?,21
19986,GEORGE," All I know about is sports. That's it. No matter how depressed I get, I could always read the sports section.",21
19987,JERRY, I could read the sports section if my hair was on fire.,21
19988,GEORGE, Know what? Ponce De Leon is sold out.,21
19989,JERRY," It is? Oh yeah, you're right. What else is playing?",21
19990,GEORGE, Nothing except Prognosis Negative.,21
19991,JERRY," Boy, I know she really wants to see that with me.",21
19992,ELAINE," Gimme the jacket, furface, this is not Seinfeld you're dealing with! When I get through with you, you'll be begging to go to the pound!",21
19993,ELAINE," Shut up. Shut up!  Hello? No, who's calling? Oh my god, the dog guy. Where have *you* been? Yeah, well you better pick up your dog tonight or he has humped his last leg.",21
19994,GEORGE," I mean, I could understand if there was something else playing, but it's this or nothing.",21
19995,JERRY, I don't know what to do.,21
19996,GEORGE," What is this 'saving movies' thing? Something's playing, you go.",21
19997,JERRY," I know, I know.",21
19998,GEORGE," So, what? We're gonna do nothing now, this is crazy.",21
19999,JERRY, It is kind of silly.,21
20000,GEORGE, Of course it is.,21
20001,JERRY," I mean, it's just a movie, for god's sake.",21
20002,GEORGE, Exactly.,21
20003,JERRY, It's not like she's *in* the movie.,21
20004,GEORGE, Right.,21
20005,JERRY," Am I supposed to ruin the whole night because she wants to see it? I mean, if I could have seen it with her, fine. But I can't control all these circumstances and schedules and peoples' availabilities at movies.",21
20006,GEORGE," And she'll still see it, you're not stopping her from seeing it.",21
20007,JERRY," How does sitting next to a person in a movie theater increase the level of enjoyment? You can't talk during a movie. You know, this is stupid, c'mon, let's just go.",21
20008,GEORGE, Good.,21
20009,JERRY, Saving movies.,21
20010,GEORGE, Ridiculous!,21
20011,JERRY, Two for Prognosis Negative. I'm in big trouble.,21
20012,GEORGE," Oh, you're dead.",21
20013,JERRY," You know it's interesting, because I called the hospital and they said you were released on Monday.",21
20014,KRAMER," Hey, c'mon, c'mon, get off me!",21
20015,KRAMER, Hey you keep that mutt away from me.,21
20016,JERRY," Oh, hi Ellen.",21
20017,JERRY," Listen, it's really been a pleasure taking care of your dog for a week, but if you don't mind...",21
20018,JERRY, Prediction. I never see you or him again for the rest of my life.,21
20019,ELAINE, We made plans.,21
20020,JERRY, Why don't we just rent a movie?,21
20021,ELAINE, I thought you wanted to see Prognosis Negative.,21
20022,JERRY," No, it&Mac226s, it's supposed to be really bad, *really* bad. I mean it's long, there's no story, it's so unbelievably boring, I heard. i...",21
20023,ELAINE," Jerry, you promised me we'd go.",21
20024,JERRY," Well, George told me the whole story, line for line, I mean I almost feel like I've seen it already and walked out on it.",21
20025,ELAINE," Wait, George saw the movie? I saw him yesterday, he didn't mention it.",21
20026,JERRY, You and George got together?,21
20027,ELAINE," Yeah, I wanted to talk about how we have nothing to talk about.",21
20028,JERRY, Hello.,21
20029,KRAMER," Hi, hi, hi, hi, hi.",21
20030,JERRY, What's up?,21
20031,KRAMER," Well, ah you were right.",21
20032,JERRY, About what?,21
20033,KRAMER," Ellen. We, uh, broke up again.",21
20034,JERRY, Too bad.,21
20035,ELAINE, I thought she was the one.,21
20036,KRAMER, I'll bring back the pot.,21
20037,ELAINE," Okay, c'mon it's movie time.",21
20038,KRAMER," Hey, what are you gonna see?",21
20039,JERRY, Prognosis Negative.,21
20040,KRAMER," Hey, that's supposed to be great.",21
20041,JERRY, It's not.,21
20042,KRAMER, How do you know?,21
20043,JERRY, I have an instinct for these things.,21
20044,JERRY," I had a parakeet when I was a kid, that was the only pet that I really enjoyed. We used to let him out of his cage, and he would fly around and my mother had built, one entire wall of our living room was mirrored. She felt this gives you a feeling of space. Have you ever heard this interior design principle that a mirror makes it seem like you have an entire other room? What kind of a jerk walks up to a mirror and goes, ""Hey look, there's a whole nother room in there. There's a guy in there looks just like me."" But the parakeet will fall for this, you'll let him out of his cage, he flies around the room, BANG! With his little head, he would just go 'click' Ohh! And I'd always think, even if he thinks the mirror is another room, why doesn't he at least try to avoid hitting the other parakeet?",21
20045,JERRY," Does it seem to you that the ventriloquist dummy has a very active sexual social life? he's always talking about dates and women that he knows and bringing them back to the suitcase at night, there's always a sawdust joke in there somewhere you know, kinky things cuz he's made out of wood an' he can spin his head around, we're somehow expected to believe because the face is soo animated that they think we aren't noticing that the feet are just swinging there, dummy feet never look right do they? they're just kinda dangling there, always kinda askew you know? you always see just little ankle, those thin fabric ankles that they have you know. Ya think 'I don't think this thing is real.'",22
20046,JERRY, Let me speak with the head librarian. ... Because it's absurd. An overdue book from 1971? ... This is a joke right? What are you? From a radio station?,22
20047,KRAMER, enters,22
20048,JERRY," Ya' got me I fell for it. Alright, OK I can be down there in like a half hour. Bye.",22
20049,KRAMER, What's the problem?,22
20050,JERRY, This you're not goin' to believe. The NYPL says that I took out Tropic of Cancer in 1971 and never returned it.,22
20051,KRAMER," Do you know how much that comes to? That's a nickel a day for 20 years. It's going to be $50,000",22
20052,JERRY, It doesn't work like that.,22
20053,KRAMER," If it's a dime a day it could be $100,000",22
20054,JERRY, It's not going to be anything. I returned the book. I remember it very vividly because I was with Sherry Becker. She wore this orange dress. It was the first time I ever saw her in a dress like that. In oticed since ninth grade she was developing this body in secret under these loose clothes for like two years. And then one day ...,22
20055,JERRY, That orange dress is burned in my memory,22
20056,KRAMER," Oh, memory burn.",22
20057,JERRY, I wonder what ever happened to her.,22
20058,KRAMER, How did they ever find you?,22
20059,JERRY," Oh, computers, they're cracking down now on overdue books. The whole thing is completely ridiculous.",22
20060,JERRY, It's George. Wait 'til he hears we're going to the library,22
20061,KRAMER, You know I never got a library card.,22
20062,JERRY,  Coming down.,22
20063,KRAMER," It's all a bunch of cheapskates in there anyway. People sitting around reading the newspaper attached to huge wooden sticks Trying to save a quarter, ooh,",22
20064,JERRY, I gotta go to the library. You want to go?,22
20065,KRAMER," Yeah,",22
20066,KRAMER," The Dewey Decimal System, what a scam that was. Boy that Dewey guy really cleaned up on that deal.													JERRY",22
20067,KRAMER, Tryin' to save a quarter.,22
20068,JERRY, I kinda like those sticks. I'd like to get them in my house.,22
20069,JERRY, This woman's completely ignoring me.,22
20070,KRAMER, Look at her. This is a lonely woman looking for companionship.. ... Spinster. ... Maybe a virgin. ... Maybe she got hurt a long time ago. She was a schoolgirl. There was a boy It didn't work out. Now she needs a little tenderness. She needs a little understanding. She needs a little Kramer.,22
20071,JERRY, Eventually a little shot of penicillin,22
20072,JERRY, Yeah I called before. I got his notice in the mail.,22
20073,KRAMER," Bookman? The library investigator's name is actually, Bookman?",22
20074,KRAMER," That's amazing. That's like an ice cream man named, Cone.",22
20075,JERRY, Can I speak with this Bookman?,22
20076,GEORGE," Jerry, Jerry",22
20077,JERRY, What?,22
20078,GEORGE, I think I saw him. I think it's him.,22
20079,JERRY, Who?,22
20080,GEORGE, Did you see the homeless guy on the library steps screaming obsenities and doing some calesthetics routine,22
20081,JERRY, Yeah.,22
20082,KRAMER, yeah,22
20083,GEORGE, I think that's Mr. Hayman. ...The gym teacher from our High School.,22
20084,JERRY,"  Haymen, Are you sure?",22
20085,GEORGE," He's older, completely covered in filth, no whistle, but I think it's him.",22
20086,JERRY, George got him fired. He squealed on him.,22
20087,KRAMER, Ooh tattle tale,22
20088,GEORGE,  I didn't tattle,22
20089,KRAMER, What did this guy do? What happened?,22
20090,GEORGE, There was an incident. I'd rather not discuss it.,22
20091,KRAMER," Oh come on, You can tell me.",22
20092,GEORGE, Some other time.,22
20093,KRAMER, What tonight?,22
20094,KRAMER, Y'know I never figured you for a squealer.,22
20095,JERRY," Oh, he sang like a canary.",22
20096,JERRY, Not here? Why was I told to come down here?,22
20097,KRAMER, He's out on a case? He actually goes out on cases?,22
20098,JERRY, Well what am I supposed to do now?,22
20099,JERRY, All right Thanks. Come on lets go,22
20100,GEORGE, Let's see if it's Hayman?,22
20101,KRAMER," Hey, uh, I'll see you boys later.  So uh, what's a guy got to do around here to get a library card?",22
20102,ELAINE, Where's Karen?,22
20103,ELAINE," Well, she didn't ask me what I wanted.",22
20104,ELAINE, How could she forget I've been ordering lunch every day here for 3 and a half years?,22
20105,ELAINE," Ah, you don't know anything. You see, ""I don't know anything"", means there's something to know. If you really didn't know anything you would have said ""You're crazy.""",22
20106,ELAINE," Oh, hi Mr. Lippman.",22
20107,ELAINE," Um, uh, I was wondering if you got a chance to look at that , um, biography of Columbus, I gave you?",22
20108,ELAINE," Ooh yeah, It's freezing. ... Hurts your teeth.",22
20109,ELAINE, I'm tellin' ya' somethin' is goin' on. He never likes anything I recommend. And then that lunch thing.,22
20110,JERRY, So they forgot to get your lunch. Big deal!,22
20111,ELAINE," What do you know. You've never worked in an office.  See, George, you've worked in an office. Jerry thinks I'm over reacting but you understand, ... LUNCH!",22
20112,GEORGE," I don't understand lunch, I don't know anything about lunch. Listen. Just because I got the guy fired doesn't mean I turned him into a bum - does it?",22
20113,ELAINE, What did he do?,22
20114,GEORGE," He purposely mispronounced my name. Instead of saying, ""Costanza"" He'd say, ""Can't stand ja"". ""Can't stand ja"" ... He made me smell my own gym socks once.",22
20115,JERRY," I remember he made you wear a jock on your head for a whole class. And the straps were hangin' down by his ,...",22
20116,GEORGE," OK, OK, I never even had him for gym.",22
20117,JERRY, I had him for Hygene. Remember his teeth. It was like from an exhumed corpse.,22
20118,GEORGE, Little baked beans,22
20119,JERRY, Echh,22
20120,ELAINE, Come on tell me what happened.,22
20121,GEORGE," Well, OK. As I said the guy had it in for me. He actually failed me in gym. ... ME!",22
20122,GEORGE, ... Those spastic shnitzer twins ...,22
20123,GEORGE," Yes, Mr. Hayman",22
20124,GEORGE, Well I guess that's because I wear boxer shorts.,22
20125,GEORGE," I'm not really sure, I...",22
20126,GEORGE, He gave me a wedgie.,22
20127,JERRY, He got fired the next day.,22
20128,ELAINE, Why do they call it a wedgie?,22
20129,GEORGE, Because the underwear is pulled up from the back and ... it wedges in..,22
20130,JERRY, They also have an atomic wedgie. Now the goal there is to actually get the waistband on top of the head. Very rare.,22
20131,ELAINE, Boys are sick.,22
20132,JERRY, Well what do girls do ?,22
20133,ELAINE, We just tease some one 'til they develop an eating disorder. guy who ruined his life.,22
20134,GEORGE, I gotta go back to the library and talk to him. I gotta find out if I&Mac226m the guy who ruined his life.,22
20135,KRAMER," Hey Babaloo, you better get home. You know this guy Bookman from the library he's waiting for ya.",22
20136,JERRY," What's amazing to me about the library is it's a place where you go in you can take out any book you whant they just give it to you and say bring it back when you're done. It reminds me of like this pathetic friend that everbody had when they were a little kid who would let you borrow any of his stuff if you would just be his friend. That's what the library is. A government funded pathetic friend. And that's why everybody kinds of bullies the library. I'll bring it back on time ... I'll bring it back late. ... Oh, what are you going to do? Charge me a nickel?",22
20137,JERRY," Oh, I'm glad you're here, so we can get this all straightened out. Would you like a cup of tea?",22
20138,JERRY, Coffee?,22
20139,JERRY," No, I don't drink coffee.",22
20140,JERRY," No, I don't have--",22
20141,JERRY," Well, I don't normally--",22
20142,JERRY, I don't.,22
20143,JERRY, Really? I'll have to remember that.,22
20144,JERRY," Yes, and I returned it in 1971.",22
20145,JERRY," Look, Mr. Bookman. I--I returned that book. I remember it very specifically.",22
20146,JERRY, I try.,22
20147,JERRY," No, I don't.",22
20148,JERRY, Certainly not.,22
20149,KRAMER, What's wrong?,22
20150,KRAMER," So I, I didn't do anything wrong.",22
20151,KRAMER, Why don't ya' leave?,22
20152,JERRY," No way I'm payin' that! I returned that book in 1971. I have a witness Sherry Becker. She wore an orange dress. She gave me a piece of black jack gum. It's a licorice gum. What do ya' think of next I remember it.  Becker, ... Becker, ...",22
20153,JERRY," So Sherry, what do you remember about that day at the library?",22
20154,JERRY, Purple? Ya' sure it wasn't orange?,22
20155,JERRY, No Black Jack?,22
20156,JERRY, Tropic of Cancer.,22
20157,JERRY, Tropic of Capricorn?,22
20158,JERRY, Wait a second. Wait a second. You're right. I had both of them.,22
20159,JERRY," George, here's the book. Don't let anybody see it. Don't let anything happen to it.",22
20160,GEORGE," Jerry, it's me, George, don't worry, I'll return it",22
20161,JERRY," Ok, I'll see you after school. I.m late for Hayman's hygiene.",22
20162,JERRY, It was nice seeing you again. I just remembered something. I've got to go.  It was GEORGE!,22
20163,KRAMER, Read another poem.,22
20164,KRAMER," Wow, that is great. You should be published.",22
20165,KRAMER," You know, the library is kind of a cool place when it's closed.",22
20166,KRAMER, HELLO!,22
20167,KRAMER, HELLO!,22
20168,ELAINE, Lippman want's to see me in his office SEE ME! That can't be good,22
20169,JERRY, Maybe you're getting' a raise.,22
20170,ELAINE, Maybe I'm getting' a wedgie.,22
20171,ELAINE, What?,22
20172,GEORGE, It's George,22
20173,ELAINE, George is on his way up.,22
20174,JERRY, Wait 'til I tell him about the book.,22
20175,KRAMER,  sobs,22
20176,ELAINE, Are you OK? What? What?,22
20177,KRAMER, It's Marion's poetry. I can't take it ,22
20178,ELAINE, Remember that biography I recommended? MY BOSS HATED IT,22
20179,JERRY, I'm right here.,22
20180,ELAINE, Remember that Columbus book?,22
20181,JERRY," Columbus, Euro trash.",22
20182,GEORGE," Well, it's definetly him.",22
20183,ELAINE, Him? Him who?,22
20184,GEORGE, Him who? Hayman him.,22
20185,ELAINE, Hayman The gym teacher? You found him?,22
20186,GEORGE," Oh, I found him. He was sitting on the steps of the library. I sat down next to him. He smelled like the locker room after that game against Erasmus",22
20187,JERRY, That was double overtime.,22
20188,GEORGE," So I said, ""Mr. Hayman, It's me george Costanza, JFK, ... "" He doesn't move. So I said uh, ""Can't stand ya'"", ""Can't stand ya'"" He turns and smiles, the little baked bean teeth. I get up to run away, but something was holding me back. It was Heyman. He had my underwear. There I was on the steps of the 42nd St. library , a grown man, getting a wedgie.",22
20189,ELAINE, At least it wasn't atomic.,22
20190,GEORGE, It was.,22
20191,JERRY," So Georgie Boy, guess what happened to TROPIC OF CANCER",22
20192,GEORGE, How should I know?,22
20193,JERRY, Because I gave it to you.,22
20194,GEORGE, Me?,22
20195,JERRY," Yeah, think. Don't you remember you kept begging me to see it then finally I agreed. You were supposed to return it. I met you in the gym locker room.",22
20196,GEORGE, The locker room!,22
20197,JERRY, Here's the book. Don't let anybody see it. Don't let anything happen to it.,22
20198,GEORGE," Jerry, it's me, George, don't worry, I'll return it tomorrow, no problem.",22
20199,JERRY," All right, I'll see you after school. I,,m late for Hayman's hygiene.",22
20200,GEORGE, Yes Mr. Hayman.,22
20201,GEORGE, Well I guess that's because I wear boxer shorts.,22
20202,GEORGE," I'm not really sure, I...",22
20203,GEORGE,  No No No!,22
20204,JERRY," Anyway, I hope there's no hard feelings.",22
20205,JERRY, What is your problem?,22
20206,JERRY, That is one tough monkey!  So you were saying?,22
20207,ELAINE," Oh? So, I took your suggestion and I gave my boss Marion's poems. The ones that affected Kramer so much.",22
20208,JERRY," Oh, beautiful did he like them?",22
20209,ELAINE," No, ... he didn't! No, ... he didn't!",22
20210,JERRY,  Was he out there?,22
20211,GEORGE," Na, he's gone. I wonder what happened to him.",22
20212,JERRY, I guess we'll never know.,22
20213,JERRY," Any day that you had gym it was a weird school day, you know what I mean because it kind of like started of kind of normal. You have like English, Geometry, Social Studies and then suddenly you're like in Lord of The Flies for 40 minutes you know you're hangin' from a rope. You have hardly any clothes on. Teachers are yellin' at ya' ""Where's your jock strap?"" Ya' know and kids are throwin' dodge balls at you. You're tryin' to survive ... Then its History, Science, Language. There's something off in the entire flow of that day.",22
20214,GEORGE, One left...what a joke.,23
20215,KRAMER, You can have this one.,23
20216,GEORGE," No, that's not enough BTUs for my living room...That was a complete waste of time.",23
20217,ELAINE," Hey, I didn't get one either.",23
20218,JERRY, Why do I always have the feeling that everybody's doing something better than me on Saturday afternoons?,23
20219,ELAINE, This is what people do.,23
20220,JERRY, No they don't. They're out on some big picnic. They're cooking burgers. They're making out on blankets. They're not at some mall in Jersey watching their friends trying to find the world's cheapest air-conditioner.,23
20221,GEORGE, You should see what my father used to go through before he bought a car. He'd go from state to state. He was away for weeks at a time. It was like he was running for President and he was going through the primaries. We'd get phone calls from motels in New Hampshire.,23
20222,ELAINE, So we took a little ride. What's the big deal?,23
20223,GEORGE, Well at least you accomplished something. You got fish.,23
20224,JERRY, Big accomplishment.,23
20225,GEORGE, Fish. What do they do?,23
20226,ELAINE, What do you do?,23
20227,KRAMER, It's this way.,23
20228,GEORGE, What time is it?,23
20229,JERRY, Five o'clock.,23
20230,GEORGE, Always late. Always late.,23
20231,JERRY, You're not late.,23
20232,GEORGE, I told them to meet me in front of my building at six-fifteen.,23
20233,ELAINE, Who?,23
20234,GEORGE, My parents. It's their anniversary. I'm taking them out to dinner and a show tonight. You think we'll hit traffic?,23
20235,JERRY, Of course we'll hit traffic. It's rush hour.,23
20236,ELAINE, Isn't it going the other way?,23
20237,JERRY, There is no other way in New York. Everybody goes every way all the time.,23
20238,ELAINE, But it's Saturday.,23
20239,JERRY, You got the picnic and burger traffic.,23
20240,GEORGE, I always get myself in this position. Can't be on time. Gotta rush.,23
20241,ELAINE, What's the matter?,23
20242,JERRY, I have to go to the bathroom. Why do they hide the bathroom in these malls?,23
20243,JERRY,  You want me to help you with that?,23
20244,KRAMER," No, no, I got it.",23
20245,JERRY,"  What do you think, Georgie boy?",23
20246,GEORGE," Did I need that pointed out for me? What is that going to do for me? How does that help me, to see her? I'm trying to live my life. Don't show me that.",23
20247,KRAMER," If you like her, go talk to her.",23
20248,GEORGE," Yeah, right. I'll just go up and say, ""Hi, how ya' doing? Would you like a glass of white wine?"" JERRY Before you got within twenty feet of this woman, she'd have her finger on the mace button. She's like an expensive car with one of those motion-sensor force field alarms. Any sudden movement in the area could set her off.",23
20249,KRAMER, She's fat.,23
20250,ELAINE, Oh she's fat?,23
20251,ELAINE, What? JERRY Where's the car?,23
20252,KRAMER, I thought it was here.,23
20253,GEORGE, You don't know where we parked?,23
20254,GEORGE," Oh, this is great.",23
20255,KRAMER, Blue-one. I thought it was blue-one.,23
20256,JERRY, I thought it was green. I remember seeing green.,23
20257,ELAINE, I didn't pay attention.,23
20258,GEORGE, This is just what I need.,23
20259,ELAINE, I'm sure it's right around here.,23
20260,KRAMER, It looks familiar. I remember the elevator.,23
20261,GEORGE, There's elevators all over! It all looks the same.,23
20262,JERRY, It's over there. I know where it is.,23
20263,ELAINE," It's black, right?",23
20264,KRAMER, Dark blue.,23
20265,GEORGE,"  You come to a parking lot, you write it down. How hard is that?",23
20266,JERRY," There it is!...No, no that's a Toyota.",23
20267,JERRY,  Hmmm...I thought it was...,23
20268,KRAMER, Didn't we come in over there?,23
20269,JERRY, I thought it was over there.,23
20270,ELAINE, How long can fish live in one of these plastic bags?,23
20271,KRAMER, About two hours.,23
20272,ELAINE,  You'd better find this car.,23
20273,GEORGE," It's this way... AND THEY TAKE OFF AGAIN, PAIRING OFF",23
20274,JERRY, I really have to go to the bathroom.,23
20275,KRAMER, Why don't you go behind one of these cars? J,23
20276,KRAMER,  Why? Nobody's around.,23
20277,JERRY, I'll wait.,23
20278,KRAMER, You know when you hold it in like that you can cause a lot of damage to your bladder. That's what happens to truck drivers. They hold it in all the time. Eventually it starts coming out involuntarily.,23
20279,JERRY, Alright.,23
20280,KRAMER," Jerry, are you aware that adult diapers are a six hundred million dollar a year industry?",23
20281,JERRY, Maybe I should just go anytime I get the urge like you...wherever I am. There's too much urinary freedom in this society. I'm proud to hold it in. It builds character.,23
20282,ELAINE,  There it is!...No that's not it.,23
20283,ELAINE,"  Hey, watch it. ...Did you see that car? Maniac. Can you explain something to me? I got six questions wrong on my drivers test. That's the maximum. I read the book, I'm a college graduate. This is a country where fifty percent of its high school students can't locate Europe on a map. How are they all passing that test? It's a mystery.",23
20284,GEORGE, ...Six wrong?,23
20285,ELAINE, Those school zones are a killer.,23
20286,JERRY,  Will you let me help you with that?,23
20287,KRAMER, I'm gonna put it down behind that car.,23
20288,JERRY, You're not worried somebody's gonna pee on it?,23
20289,KRAMER,  Pink eleven. Remember that.,23
20290,GEORGE," Oh I got it.  That I'm supposed to remember. Where the car is, that's insignificant.",23
20291,ELAINE,  I think they're laboring.,23
20292,KRAMER, Look at this place. It's huge...,23
20293,GEORGE," I can tell you this. If I am not in front of my house at six-fifteen, when my parents get there, they will put me on an aggravation installment plan that will compound with interest for decades.",23
20294,JERRY," Parents never forget a foul-up. I once left a jacket on the bus when I was fourteen. Last week I'm flying to Chicago to do a show, ""Make sure you hang on to your jacket.""",23
20295,GEORGE," Where the hell is this car, Kramer?",23
20296,KRAMER, It's got to be here.,23
20297,ELAINE, Why are they using so many colors? And the numbers go up to forty.,23
20298,JERRY, Maybe it's not on this level.,23
20299,GEORGE, What?,23
20300,JERRY, There are four different levels. Maybe we're on the wrong level. How long was the escalator ride up?,23
20301,ELAINE, It felt like a couple of levels.,23
20302,JERRY, You should always carry a pad and pen.,23
20303,GEORGE, I can't carry a pen. I'm afraid I'll puncture my scrotum.,23
20304,KRAMER, I have a pen.,23
20305,JERRY," Where was the bathroom in this mall? There are six-hundred stores, I didn't see one bathroom. What is this, like a joke? They finished building the mall and they go, ""Oh my god, we forgot the bathrooms.""",23
20306,ELAINE, Look at that woman.,23
20307,GEORGE,"  Hey, is that necessary?",23
20308,GEORGE, I think hitting a defenseless child is my business.,23
20309,GEORGE, ...What?,23
20310,GEORGE, You are!,23
20311,GEORGE, I should've hit the little son-of-a-bitch. I can't stand kids. Adults think it's so wonderful how honest kids are. I don't need that kind of honesty. I'll take a deceptive adult over an honest kid any day.,23
20312,KRAMER,  I found it!,23
20313,ELAINE, He's got it.,23
20314,KRAMER, Oh...no.,23
20315,JERRY," All right, that's it. From now on no more calling out they found it, unless we're sitting in it. Okay?",23
20316,ELAINE," Jerry, look at my fish.",23
20317,JERRY, His eyes look a little cloudy.,23
20318,GEORGE, Oh are they gonna be furious.,23
20319,JERRY, Who's got the tickets? GEORGE I do.  I thought you knew this mall. You said you'd been here before!,23
20320,KRAMER, It was easy the last time.,23
20321,ELAINE, My fish are dying right in front of me! We have to get someone to drive us around the parking lot to help us look for the car.,23
20322,JERRY, No one's going to do that.,23
20323,ELAINE," Excuse me, we can't seem to find our car. I was wondering if it would be possible if you're not in a hurry, to drive us around the garage for five minutes so we can look.",23
20324,ELAINE, Five minutes.,23
20325,ELAINE, We're not wilding.,23
